	total_energy	grid_total	grid_vdw	grid_elec	grid_hbond	conformer_id	placement_id	PDB_name	cluster_size
0	30.062944229829007	-32.47099609513733	-27.882345582856956	-4.588650512280373	0.0	6	16	6_16.pdb	33
1	30.46721800017123	-31.64116426686362	-27.554751120983266	-4.086413145880355	0.0	5	47	5_47.pdb	25
2	30.544820770037695	-32.68595272731736	-28.56613150182126	-4.119821225496095	0.0	8	14	8_14.pdb	26
3	30.81752692723731	-31.585005555254007	-26.130013824762656	-5.4549917304913516	0.0	2	65	2_65.pdb	27
4	31.021625890979433	-37.77840960661115	-31.202701498138616	-6.575708108472536	0.0	7	93	7_93.pdb	13
5	31.239755857057215	-32.69658445831345	-27.43863729926589	-5.257947159047563	0.0	4	66	4_66.pdb	19
6	31.33288036440466	-32.18241421221519	-25.581851191724446	-6.600563020490747	0.0	9	87	9_87.pdb	21
7	32.115741919468114	-32.33521563896845	-27.954844783495442	-4.380370855473009	0.0	3	40	3_40.pdb	22
8	34.214801537585025	-29.445362381075004	-24.119189613055006	-5.326172768019998	0.0	10	24	10_24.pdb	15
9	34.90919762321562	-28.839423435378695	-22.847830255522872	-5.991593179855823	0.0	1	73	1_73.pdb	21
