	total_energy	grid_total	grid_vdw	grid_elec	grid_hbond	conformer_id	placement_id	PDB_name
452	38.28741504898505	-32.05799071048412	-23.483027283208653	-8.574963427275465	0.0	9	54	9_54.pdb
453	38.28832336718433	-28.646481743562333	-23.94665614663858	-4.699825596923753	0.0	8	64	8_64.pdb
454	38.30819913800626	-28.687568862364262	-21.423785409422443	-7.263783452941818	0.0	3	45	3_45.pdb
455	38.371090768488294	-24.90102236998754	-18.431798791960382	-6.469223578027157	0.0	5	8	5_8.pdb
456	38.39399080935869	-31.48241550679645	-27.049619208315622	-4.432796298480828	0.0	10	99	10_99.pdb
457	38.44961059123321	-26.79259679789651	-23.772524464221636	-3.0200723336748743	0.0	4	100	4_100.pdb
458	38.46762360972954	-26.534609726796784	-24.640962145157168	-1.8936475816396163	0.0	9	72	9_72.pdb
459	38.487789289881675	-29.895197486176585	-27.287578950083876	-2.6076185360927076	0.0	2	68	2_68.pdb
460	38.56431360492729	-29.877777286163198	-27.627693237490792	-2.250084048672405	0.0	4	25	4_25.pdb
461	38.56738996738492	-27.01473412487227	-24.19898220153279	-2.815751923339481	0.0	3	89	3_89.pdb
462	38.57159069373485	-28.427274724131028	-23.96382791966439	-4.463446804466638	0.0	2	26	2_26.pdb
463	38.60739581925789	-28.339802710698205	-25.488981066028924	-2.850821644669281	0.0	7	73	7_73.pdb
464	38.60794606320449	-26.76901758950796	-20.435692572665882	-6.3333250168420765	0.0	8	47	8_47.pdb
465	38.63175849878875	-28.26157237489488	-26.715060332248072	-1.5465120426468066	0.0	7	40	7_40.pdb
466	38.63373822285506	-27.775562941424685	-23.95557450897602	-3.8199884324486626	0.0	3	66	3_66.pdb
467	38.655995568454344	-30.14091423029175	-25.540231173055172	-4.600683057236578	0.0	1	41	1_41.pdb
468	38.67277862412672	-27.873230087150375	-24.490275641785097	-3.3829544453652796	0.0	8	49	8_49.pdb
469	38.69036695413732	-26.03836826308259	-26.020447027464204	-0.017921235618386433	0.0	10	76	10_76.pdb
470	38.70653866683517	-27.06719121497224	-25.446335441502516	-1.6208557734697244	0.0	3	46	3_46.pdb
471	38.76120120278314	-31.879138367888647	-25.255417759930356	-6.62372060795829	0.0	1	88	1_88.pdb
472	38.803913039826	-29.1970968585578	-22.64024433404213	-6.556852524515669	0.0	7	82	7_82.pdb
473	38.806152045269926	-26.748968296376983	-24.85907556280851	-1.8898927335684743	0.0	3	3	3_3.pdb
474	38.83598691630956	-25.83100321809645	-23.20544603095592	-2.6255571871405294	0.0	1	23	1_23.pdb
475	38.866670011134545	-28.273010620128108	-20.286287236961233	-7.986723383166875	0.0	7	6	7_6.pdb
476	38.8720811097035	-26.031134886193115	-21.506555124444603	-4.524579761748511	0.0	2	21	2_21.pdb
477	38.87740023865583	-27.021076424172627	-24.33785357044396	-2.683222853728667	0.0	1	4	1_4.pdb
478	38.88802721815949	-29.100548710807487	-23.694203673968094	-5.406345036839394	0.0	7	99	7_99.pdb
479	38.90139336531497	-31.096886759884242	-27.023999492175648	-4.072887267708593	0.0	7	88	7_88.pdb
480	38.932418341307304	-31.02360369310632	-25.671326615765754	-5.352277077340568	0.0	5	93	5_93.pdb
481	38.95290187544308	-28.140475936950203	-21.495564906239906	-6.644911030710299	0.0	2	82	2_82.pdb
482	39.01571434163715	-27.42959127060347	-21.955075528691168	-5.474515741912302	0.0	3	100	3_100.pdb
483	39.02088548105815	-25.225031356030406	-20.58916606385572	-4.635865292174687	0.0	2	71	2_71.pdb
484	39.027439777431496	-30.434292416903002	-26.91380740729882	-3.520485009604184	0.0	3	30	3_30.pdb
485	39.02792019083381	-27.09726741880777	-24.599766038514034	-2.497501380293739	0.0	4	10	4_10.pdb
