	total_energy	vdw	elec	grid_hbond	conformer_id	placement_id	PDB_name	cluster_size
0	30.03581469695074	-14.284223582810029	0.16288145601543758	0.0	6	16	6_16.pdb	33
1	30.343896955596442	-13.647406065884836	-1.3035730672208539	0.0	9	87	9_87.pdb	21
2	30.69820840272659	-18.511074252460116	-0.8214354345082675	0.0	7	93	7_93.pdb	13
3	30.767579428287455	-13.812602379050544	-0.401790711940782	0.0	2	65	2_65.pdb	27
4	30.993638590404327	-15.456798048729794	1.137997872717836	0.0	8	14	8_14.pdb	26
5	31.009065238453196	-14.39632173242531	-0.0879459378835985	0.0	4	66	4_66.pdb	19
6	31.33977441077325	-14.175318829773627	0.9698753450719755	0.0	5	47	5_47.pdb	25
7	31.377733214552517	-13.590837589139882	0.3825764495260099	0.0	1	73	1_73.pdb	21
8	31.414738057979978	-13.605238147140218	-0.7573034981024978	0.0	3	40	3_40.pdb	22
9	34.01982461899249	-11.937752156284992	0.39439724870075077	0.0	10	24	10_24.pdb	15
