	enthalpy	PDB_name
0	-20.222080851518413	485
1	-19.851319147068935	7
2	-19.763649949147908	109
3	-19.353037712574938	262
4	-19.021835779169237	24
5	-18.765494175491078	283
6	-18.710776541538557	106
7	-18.5917392197306	311
8	-18.13017698518017	302
9	-17.989530499516412	346
10	-17.53880005745654	3
11	-17.44104228123506	287
12	-17.35609201028206	378
13	-17.306731674176714	70
14	-17.293252553175673	58
15	-17.099415244176512	71
16	-16.860840619586178	421
17	-16.79102526948426	259
18	-16.75639810579861	343
19	-16.660652968780916	480
20	-16.290373790093984	44
21	-16.168426894862755	301
22	-16.03883484490814	444
23	-15.996386120550568	120
24	-15.575506624813702	16
25	-15.500431167837771	401
26	-15.420723748668143	326
27	-15.413779747180355	332
28	-15.319490772562295	335
29	-15.181693874212767	429
30	-15.122696818444505	182
31	-14.922684053938069	289
32	-14.84976351458495	392
33	-14.76799259673151	19
34	-14.694452390582816	176
35	-14.608223776464737	404
36	-14.473522435326887	116
37	-14.440142269417883	470
38	-14.409210484293542	321
39	-14.365751688020463	466
40	-14.322076857731966	62
41	-14.238073099787217	222
42	-14.151869374154314	297
43	-14.120856526375341	333
44	-14.06792018283801	2
45	-13.969604674339305	418
46	-13.926934718135374	500
47	-13.891239698781682	318
48	-13.864124125108578	47
49	-13.848420894943434	11
50	-13.83805854414578	128
51	-13.683034201956058	426
52	-13.657855663645464	339
53	-13.63513048335982	119
54	-13.559861769889656	490
55	-13.458603591978921	422
56	-13.458511787044863	415
57	-13.378056885141131	459
58	-13.334220583575556	194
59	-13.329938776102217	462
60	-13.327859129436735	263
61	-13.317836676053519	17
62	-13.309753447321949	291
63	-13.244966256658387	368
64	-13.239197159992777	206
65	-13.174915953390153	118
66	-13.098858082325389	31
67	-13.095802953566231	252
68	-13.078653076649282	356
69	-13.070408732574023	207
70	-13.069645846067122	48
71	-13.063917530378347	482
72	-13.011702908865294	499
73	-12.959818417940923	316
74	-12.951728058704642	25
75	-12.92359960683705	230
76	-12.91894095475542	90
77	-12.89741027376714	177
