	total_energy	enthalpy	vdw	elec	entropy	PDB_name	cluster_id
0	-73.72982290900863	-68.94327517577878	-255.7491089014768	-145.71496398323276	-4.786547733229857	259	9
1	-72.85978768828815	-67.77914121742481	-254.67224142589993	-140.3041738352796	-5.080646470863337	335	6
2	-71.20984426921953	-65.57568216976796	-248.11877366432472	-147.98909591131846	-5.634162099451571	263	7
3	-71.04956769720305	-66.19006533833083	-257.4754951839612	-143.24829498273758	-4.859502358872224	429	14
4	-70.44068080930481	-65.58117845043259	-258.0200286932587	-140.37210552480738	-4.859502358872224	333	14
5	-70.20172601876749	-65.02721429773491	-254.24063482577088	-142.05580606862586	-5.174511721032572	339	12
6	-70.08114548645416	-65.22164312758194	-254.74665984553224	-144.12836601434682	-4.859502358872224	309	14
7	-69.66846017090003	-65.30732169662667	-253.85669697633188	-140.68222472704838	-4.361138474273366	25	2
8	-69.62166235359274	-65.26052387931938	-245.68043307100265	-147.35975481455273	-4.361138474273366	120	2
9	-69.46304848897525	-64.6765007557454	-248.93534184165208	-147.6879389450221	-4.786547733229857	109	9
10	-68.58969553716386	-63.41518381613129	-251.97519086342956	-147.28181510802307	-5.174511721032572	35	12
11	-68.53091937527024	-64.16978090099688	-246.37377542246546	-144.88731143601638	-4.361138474273366	116	2
12	-68.12370919883709	-63.043062727973755	-249.35275044294775	-144.37486609843342	-5.080646470863337	235	6
13	-68.02910672626777	-63.24255899303791	-248.76900127996845	-146.08031826132114	-4.786547733229857	485	9
14	-67.99355254337618	-62.52770309815426	-252.6702843826185	-143.9221684373696	-5.465849445221921	90	15
15	-67.95929993754764	-62.31074054206409	-254.11112284500908	-144.1573077826092	-5.64855939548355	384	11
16	-67.90442721704979	-63.11787948381993	-250.62133452002783	-148.65643113479246	-4.786547733229857	311	9
17	-67.81885212210766	-62.95934976323543	-251.13548787960914	-145.12273907329637	-4.859502358872224	378	14
18	-67.37547630445084	-61.72691690896729	-248.61426548050613	-147.40460703892683	-5.64855939548355	461	11
19	-67.02852201937385	-62.667383545100485	-254.14075858843682	-139.03965120595248	-4.361138474273366	201	2
20	-66.96694984855517	-62.10744748968295	-256.88142514420156	-142.24068920633752	-4.859502358872224	232	14
21	-66.69724687537962	-61.83774451650739	-257.86980835150007	-136.41388121232268	-4.859502358872224	495	14
22	-66.12879016686234	-60.95427844582977	-247.73321941840558	-146.93885293847455	-5.174511721032572	118	12
23	-66.07814957417233	-59.37783744472717	-248.22268462658147	-142.37051225261183	-6.70031212944516	64	10
24	-65.96261973821892	-61.272628284685496	-248.4726925486833	-140.38709947279912	-4.6899914535334215	418	1
25	-65.89641379297906	-60.43056434775714	-250.0638119564579	-145.04517019554027	-5.465849445221921	291	15
26	-65.70997554489924	-60.9682164984406	-242.71437481958873	-149.1664710625832	-4.741759046458637	19	8
27	-65.67007807917088	-60.20422863394896	-253.89125643394374	-144.62694648619026	-5.465849445221921	212	15
28	-65.49257477726712	-60.70602704403726	-250.11953247358107	-139.38201747449347	-4.786547733229857	24	9
29	-65.25245928404485	-60.39295692517262	-246.82774129092317	-148.20443372636458	-4.859502358872224	268	14
30	-64.90531874501178	-60.118771011781924	-247.06839659828722	-148.46827142070234	-4.786547733229857	422	9
31	-64.86193416200342	-59.68742244097085	-249.93189392586342	-144.63497364348194	-5.174511721032572	159	12
32	-64.63999508332218	-58.991435687838624	-240.31392908262183	-149.03306466935436	-5.64855939548355	1	11
33	-64.61412996510091	-59.43961824406834	-242.28211289201062	-148.60550772379273	-5.174511721032572	119	12
34	-64.57510400007529	-58.92654460459173	-250.4266798079962	-138.9068600817301	-5.64855939548355	113	11
35	-64.56730586360686	-59.707803504734635	-257.02019998166827	-138.6272513844442	-4.859502358872224	205	14
36	-64.25720123296031	-59.51544218650167	-244.8317015663719	-142.82580719246306	-4.741759046458637	156	8
37	-63.740179063852956	-58.88067670498073	-254.68489180550344	-138.4983373071224	-4.859502358872224	348	14
38	-63.59598765200615	-58.736485293133924	-248.53099913665335	-143.07291769436338	-4.859502358872224	490	14
39	-63.48702708539006	-58.627524726517834	-254.3128647598759	-141.15827368336446	-4.859502358872224	300	14
40	-63.33043772250262	-58.15592600147005	-248.05864270183244	-140.64954234995102	-5.174511721032572	385	12
41	-63.26535770233724	-58.57536624880382	-250.10296596603968	-137.43574713931258	-4.6899914535334215	412	1
42	-63.23155108884459	-58.37204872997236	-249.09192229910005	-137.48286416061904	-4.859502358872224	172	14
43	-63.13232530965767	-58.07029217228944	-247.6076031478249	-145.82213523780524	-5.062033137368233	143	13
44	-62.890778389271034	-57.71626666823846	-244.5967951478151	-145.19013302474085	-5.174511721032572	480	12
45	-62.825083832838594	-57.286069979963166	-243.830822964547	-149.27958579400635	-5.53901385287543	466	4
46	-62.66562663041246	-57.97082361381919	-235.63604886591165	-145.49860137895183	-4.694803016593272	445	5
47	-62.65820085655951	-55.95788872711435	-242.74385242628935	-145.00973452905524	-6.70031212944516	73	10
48	-62.64864578819742	-57.95384277160415	-247.8894177526466	-148.9105110839998	-4.694803016593272	303	5
49	-62.37552119005154	-56.90967174482962	-249.74320370705036	-140.81499559526287	-5.465849445221921	417	15
50	-62.01729327168277	-55.31698114223761	-244.7889444493836	-141.23772992576718	-6.70031212944516	383	10
51	-61.71507210378942	-56.066512708305865	-246.6113917020151	-143.56061230200294	-5.64855939548355	447	11
52	-61.710212409430866	-56.96845336297223	-248.63052074045004	-136.69182898960162	-4.741759046458637	243	8
53	-61.55858669848313	-57.197448224209765	-254.4437502656671	-140.17932878539582	-4.361138474273366	80	2
