	total_energy	enthalpy	vdw	elec	entropy	cluster_size	PDB_name	cluster_id
0	-20.77298984559062	-12.474039709674612	-287.43769749555133	-157.084291605	-8.298950135916007	45	342	14
1	-19.677859934442353	-10.650789387161343	-291.57112344617536	-157.62979528227166	-9.02707054728101	66	476	15
2	-19.592645649179417	-10.620217098374228	-298.3348498540786	-157.36664563659676	-8.972428550805189	30	318	11
3	-17.725067970027737	-8.812210453578237	-297.40535281021863	-154.62379178732695	-8.9128575164495	40	311	12
4	-16.337270077953143	-8.052372935248481	-298.41448623306246	-153.2595729805579	-8.284897142704661	17	219	7
5	-15.980924664108779	-8.468432851549649	-298.44606521673796	-161.70714445351277	-7.51249181255913	23	267	9
6	-15.158649504640472	-6.2906567456927025	-293.97654020664	-152.2152022272867	-8.86799275894777	19	229	8
7	-14.361450669124388	-5.78293048896758	-296.48539415340053	-153.15694435459966	-8.578520180156808	25	437	10
8	-13.790416234239814	-6.141402257518867	-302.97585573160325	-145.7703939387054	-7.649013976720947	10	124	3
9	-13.708259125861275	-4.918303265872311	-293.80100942373423	-153.1020621185769	-8.789955859988964	44	300	13
10	-11.527581328464635	-4.755454374320586	-293.905894783279	-152.06439089253544	-6.772126954144048	8	73	1
11	-11.212202138442162	-3.5872961618040042	-287.1564856117346	-155.23213616283232	-7.624905976638158	11	344	4
12	-10.826137133042067	-3.8250700928563877	-290.83095823809043	-154.71664012775588	-7.00106704018568	13	261	5
13	-10.786343639774655	-2.6953211245742956	-295.6485329834531	-153.86362403994306	-8.09102251520036	9	212	2
14	-8.682497631665678	0.09185165339547119	-290.37684118990126	-150.55093222803654	-8.774349285061149	16	126	6
