	total_energy	vdw	elec	grid_hbond	conformer_id	placement_id	PDB_name
0	30.448529671447833	-16.25182585284103	-0.5096269327895977	0.0	5	44	5_44.pdb
1	32.26074410872482	-13.838063407455346	0.18187440753278583	0.0	4	40	4_40.pdb
2	34.73682646203097	-15.205222285612185	2.947061017891164	0.0	1	7	1_7.pdb
3	34.76110531788013	-13.638227418273917	4.468080891505114	0.0	2	32	2_32.pdb
4	35.058094095175115	-17.626961734635632	5.683715300290838	0.0	4	54	4_54.pdb
5	35.10543359991127	-13.626201582620414	4.657022199876868	0.0	4	21	4_21.pdb
6	35.41307571089588	-14.455863684069369	2.159967500695914	0.0	3	86	3_86.pdb
7	35.4436578830745	-15.78871017092163	5.912377953732166	0.0	7	24	7_24.pdb
8	35.543832008569034	-16.440939289151867	4.783362788555975	0.0	2	68	2_68.pdb
9	35.60219806317564	-14.640977103962888	3.736972139109761	0.0	2	51	2_51.pdb
10	36.055079717929985	-16.019260679522098	2.646604468391832	0.0	6	89	6_89.pdb
