	total_energy	vdw	elec	grid_hbond	conformer_id	placement_id	PDB_name	cluster_size
0	27.64621218606757	-18.09755899451593	1.2601333109592503	0.0	8	47	8_47.pdb	22
1	27.873821401598622	-18.23084445628746	1.2286712368463513	0.0	3	32	3_32.pdb	17
2	28.366155306554997	-17.429015403728908	0.8836600058488185	0.0	9	95	9_95.pdb	25
3	31.742991615475578	-16.823542877125405	1.6631904050064779	0.0	2	50	2_50.pdb	15
4	31.826285816432446	-16.267116910023258	0.996086169759533	0.0	5	86	5_86.pdb	19
5	32.01968227749812	-15.825578089460475	0.9648475689873397	0.0	4	14	4_14.pdb	22
6	33.07311147796932	-17.107800132227947	2.168045137290359	0.0	1	8	1_8.pdb	23
7	33.6039949739892	-14.198443044178624	3.536248082176072	0.0	10	34	10_34.pdb	14
8	36.67885724090136	-11.15848015967817	-1.89397560065519	0.0	6	47	6_47.pdb	25
9	39.20456907331038	-11.698852385305909	2.526478778804771	0.0	7	10	7_10.pdb	27
