	total_energy	vdw	elec	grid_hbond	conformer_id	placement_id	PDB_name
0	27.64621218606757	-18.09755899451593	1.2601333109592503	0.0	8	47	8_47.pdb
1	27.68723323135054	-18.027357364663523	1.0450712452460582	0.0	6	8	6_8.pdb
2	27.713783664171324	-18.08665436378405	1.4334651346605884	0.0	1	21	1_21.pdb
3	27.96024200856584	-17.98577363404442	1.2306970723547175	0.0	9	5	9_5.pdb
4	28.120727695068187	-16.68171821726138	-1.7137742183071505	0.0	7	13	7_13.pdb
5	28.15909009845401	-18.261152727634776	2.2170658951988753	0.0	1	9	1_9.pdb
6	28.366155306554997	-17.429015403728908	0.8836600058488185	0.0	9	95	9_95.pdb
7	29.412640091347406	-17.32518667507764	2.563382260621105	0.0	1	81	1_81.pdb
8	29.815402525584748	-17.74291445920545	2.6408645619654116	0.0	7	20	7_20.pdb
9	30.09015313675494	-16.463545861365024	2.1999850483790047	0.0	5	48	5_48.pdb
10	30.546092972898105	-19.119839713619818	2.039700119144991	0.0	9	16	9_16.pdb
