	total_energy	grid_total	grid_vdw	grid_elec	grid_hbond	conformer_id	placement_id	PDB_name	cluster_size
0	28.34415537505362	-33.686765330890324	-30.11460173351215	-3.5721635973781787	0.0	9	95	9_95.pdb	25
1	28.364803017421323	-33.825653474261	-30.93100022357655	-2.8946532506844527	0.0	8	47	8_47.pdb	22
2	29.51602913723808	-33.569134887106564	-30.40198367509481	-3.1671512120117535	0.0	3	32	3_32.pdb	17
3	31.74355261177469	-32.912430433802825	-28.804327512004445	-4.108102921798377	0.0	2	50	2_50.pdb	15
4	31.839492029974593	-32.51293428246777	-27.04878153052374	-5.464152751944028	0.0	4	14	4_14.pdb	22
5	32.69348478566782	-32.52564601170073	-28.150621776351784	-4.375024235348949	0.0	5	86	5_86.pdb	19
6	33.88013500230185	-32.181229652502616	-28.579127971676144	-3.602101680826475	0.0	1	8	1_8.pdb	23
7	36.805139707626765	-27.062187384178152	-26.77479364791769	-0.2873937362604615	0.0	10	34	10_34.pdb	14
8	40.11481533859693	-27.44762073588134	-20.89601609787779	-6.55160463800355	0.0	6	47	6_47.pdb	25
9	42.06662162521346	-25.929256613680337	-22.887520132641992	-3.0417364810383454	0.0	7	10	7_10.pdb	27
