	total_energy	enthalpy	vdw	elec	entropy	cluster_size	PDB_name	cluster_id
0	-42.185337601979406	-35.66484103426275	-196.52950473044444	-116.87278313930943	-6.520496567716656	82	277	15
1	-41.76419933631053	-35.25302642663234	-197.5294593740678	-113.33460400164532	-6.511172909678192	73	147	14
2	-37.33734076299655	-31.610226576602116	-197.01066721597167	-112.4809076395274	-5.727114186394432	9	299	5
3	-36.839754570299526	-32.18358584279524	-192.40578970609553	-114.11464830948766	-4.656168727504286	10	191	9
4	-36.50128234103462	-30.693736475989347	-195.8461818279867	-116.86255680906376	-5.807545865045271	8	27	2
5	-36.41547080089144	-30.651646204659333	-197.57796518104666	-112.50260860423697	-5.763824596232108	9	285	7
6	-36.0546859846958	-30.32486721957204	-190.1891220582106	-116.48633564194733	-5.72981876512376	17	99	12
7	-35.97443167665863	-29.57324979120463	-194.4431464574343	-113.58428865644227	-6.401181885454001	20	258	13
8	-35.15650733915774	-30.26399869174786	-193.53830865302842	-110.50638690753695	-4.892508647409879	8	373	3
9	-34.52681638621535	-29.30526197201857	-193.34220048923711	-114.30619918054454	-5.221554414196782	11	337	10
10	-34.180039730612215	-28.55708555952886	-193.3570820060928	-113.96566242717277	-5.622954171083355	9	37	6
11	-34.03075149466413	-29.28950204809303	-194.21387823988715	-113.88567510230197	-4.7412494465711	12	75	11
12	-33.56820785738085	-28.38449737505952	-190.14493663523302	-112.94772915197655	-5.183710482321327	8	346	4
13	-33.09834890856364	-28.205488019823015	-192.84457372354882	-112.20443306171116	-4.892860888740627	10	81	8
14	-30.057975454284463	-26.071604818870977	-191.8576477112022	-110.87004090601582	-3.9863706354134867	7	490	1
