	total_energy	vdw	elec	grid_hbond	conformer_id	placement_id	PDB_name	cluster_size
0	28.17086105907955	-18.080564098813714	1.7130959186848331	0.0	5	93	5_93.pdb	16
1	28.349885249560295	-15.895472346320773	-2.3587767194268725	0.0	8	56	8_56.pdb	20
2	28.51679485994402	-16.075677494839272	-1.3347114107827631	0.0	10	100	10_100.pdb	21
3	28.648313189031235	-19.671036704414853	1.9435856736543036	0.0	2	47	2_47.pdb	17
4	28.66012715213973	-17.92052027651163	2.2190570196556987	0.0	7	60	7_60.pdb	14
5	29.774273161324185	-17.226315475914873	2.245992873140569	0.0	3	32	3_32.pdb	15
6	32.139730256370626	-19.02785893801718	2.8243428604512086	0.0	9	91	9_91.pdb	25
7	32.4604372525059	-16.332701658357102	3.5480628056489305	0.0	4	22	4_22.pdb	19
8	32.858488926875964	-15.350559751977029	2.6788713363136925	0.0	6	89	6_89.pdb	13
9	33.47102963162036	-16.19874227234457	0.9426671860051332	0.0	1	58	1_58.pdb	16
