	total_energy	vdw	elec	grid_hbond	conformer_id	placement_id	PDB_name
0	27.940223555715296	-17.872452014553545	1.5209379564738277	0.0	1	3	1_3.pdb
1	27.977953512048032	-15.941168908254088	-2.3254187312694485	0.0	5	77	5_77.pdb
2	28.021379439651895	-16.609932230964727	-1.8681364774206877	0.0	3	15	3_15.pdb
3	28.092906477851496	-16.14370169692025	-1.5621945112723081	0.0	9	82	9_82.pdb
4	28.30883902924251	-15.739352027515592	-1.7140845478182911	0.0	9	16	9_16.pdb
5	28.349885249560295	-15.895472346320773	-2.3587767194268725	0.0	8	56	8_56.pdb
6	28.35656612771215	-15.94226979900856	-2.101314797411657	0.0	7	10	7_10.pdb
7	28.63710725789331	-18.042577750959875	1.8827853067272085	0.0	7	58	7_58.pdb
8	29.393991492670235	-15.651009110535544	-1.442467990062654	0.0	9	31	9_31.pdb
9	29.789523159408738	-17.723510241167958	3.0726775299328875	0.0	9	44	9_44.pdb
10	31.121807766562394	-17.247184833064168	4.181866611354683	0.0	9	69	9_69.pdb
