	total_energy	grid_total	grid_vdw	grid_elec	grid_hbond	conformer_id	placement_id	PDB_name	cluster_size
0	28.296039544901337	-33.46746896675726	-30.4314786094439	-3.035990357313362	0.0	8	56	8_56.pdb	20
1	28.55038138659062	-33.94536060036687	-31.167034754600145	-2.7783258457667204	0.0	2	47	2_47.pdb	17
2	28.651558254077276	-34.27577243981798	-30.80676712712416	-3.469005312693814	0.0	5	93	5_93.pdb	16
3	28.686072449373558	-32.524509149879066	-29.608402037186316	-2.916107112692746	0.0	10	100	10_100.pdb	21
4	29.233446249656467	-33.392823661834306	-30.713943420420797	-2.678880241413509	0.0	7	60	7_60.pdb	14
5	29.739648569431388	-33.33582151466239	-30.177540581938654	-3.158280932723736	0.0	3	32	3_32.pdb	15
6	29.742930307355063	-32.071226635674385	-29.215077888796916	-2.8561487468774693	0.0	4	22	4_22.pdb	19
7	32.13828659221956	-31.55568804818641	-27.528118520839342	-4.02756952734707	0.0	6	89	6_89.pdb	13
8	32.405346570983234	-32.7214763789278	-28.02367376127402	-4.697802617653776	0.0	1	58	1_58.pdb	16
9	33.71310518307208	-30.46990712756304	-30.683702474383832	0.21379534682079282	0.0	9	91	9_91.pdb	25
