	total_energy	enthalpy	vdw	elec	entropy	cluster_size	PDB_name	cluster_id
0	-60.51254641701954	-51.79017316293749	-318.14349947899206	-170.19989833770802	-8.722373254082049	38	43	15
1	-58.0967481840018	-51.06375971578969	-317.6761042267149	-173.75593890453555	-7.032988468212101	11	266	2
2	-54.151759116440445	-46.20361318369523	-315.1997010705488	-170.608160800264	-7.948145932745211	13	484	4
3	-52.245615403160116	-45.149858957807616	-320.43900525818793	-171.22190325795785	-7.0957564453525	13	358	5
4	-51.580598844081635	-42.95160194568493	-317.4139441267428	-166.70563332296788	-8.62899689839671	25	289	13
5	-50.57654258095913	-43.63256312966383	-318.208585008408	-169.10832144960295	-6.943979451295299	28	343	14
6	-50.54122866215492	-42.99302951928117	-322.09885660971094	-164.01360366782703	-7.5481991428737505	18	103	11
7	-49.85064533162225	-41.620343237907164	-317.31924336094096	-167.76195844216375	-8.230302093715087	19	79	12
8	-49.4074532839415	-41.187544381794574	-315.4135138091863	-165.4223658105016	-8.219908902146928	15	126	7
9	-49.25048327809949	-41.62465645558281	-315.71538846082564	-166.26215668510068	-7.6258268225166805	16	94	9
10	-47.08970633747439	-39.23981944308693	-316.6180761109886	-163.35915822951168	-7.849886894387457	14	141	6
11	-45.393459362669184	-37.687618626058374	-317.81054371616716	-160.93367388535125	-7.705840736610813	16	24	8
12	-45.372930313297466	-38.40487015493091	-316.5456641221617	-167.352328391007	-6.968060158366557	11	326	3
13	-43.58698496031419	-36.69078971654276	-314.5620354413645	-163.65096215734644	-6.896195243771429	11	216	1
14	-43.52038010037482	-35.46500359845235	-313.74129845428274	-164.48377894930226	-8.055376501922476	17	29	10
