	total_energy	enthalpy	vdw	elec	entropy	PDB_name	cluster_id
0	-60.51265882350423	-51.79028556942218	-318.1435389392631	-170.199961528838	-8.722373254082049	43	15
1	-58.09674818703098	-51.063759718818886	-317.676104227025	-173.75593890576755	-7.0329884682121	266	2
2	-54.21417960490639	-46.26603367216118	-315.1372115633733	-170.75626479800775	-7.948145932745213	484	4
3	-54.00869160147282	-45.28631834739077	-315.8647508357612	-166.5364899996963	-8.722373254082049	131	15
4	-52.24586552288286	-45.15010907753036	-320.43904017985955	-171.22224184579883	-7.0957564453524995	358	5
5	-52.13439947590464	-44.186253543159424	-317.27758864001856	-165.728362584341	-7.948145932745213	179	4
6	-51.770361907549685	-43.14136500915298	-317.41519926445216	-168.50141061129747	-8.62899689839671	289	13
7	-51.33566116194319	-42.706664263546486	-317.1521853258191	-163.13468621366053	-8.62899689839671	182	13
8	-50.866093159023286	-43.92211370772799	-317.2035942223611	-170.7954866073821	-6.9439794512952995	343	14
9	-50.566548423751286	-43.01834928087754	-322.15233878276456	-164.00425679916663	-7.548199142873751	103	11
10	-50.208433469565875	-43.26445401827058	-322.12061682213636	-163.81326723813748	-6.9439794512952995	296	14
11	-49.90413889780619	-41.275141999409485	-320.31064135435014	-164.84116200793153	-8.62899689839671	74	13
12	-49.85725883232913	-41.62695673861404	-317.3239965098633	-167.76312951215675	-8.230302093715087	79	12
13	-49.738120546071976	-41.015747291989925	-309.38818791490144	-172.19292780411695	-8.722373254082049	246	15
14	-49.56499478493128	-41.9391679624146	-316.55468768781986	-167.7528170717081	-7.625826822516681	94	9
15	-49.51278439608159	-40.79041114199954	-312.8747485630605	-166.1463335431967	-8.722373254082049	445	15
16	-49.46572812705517	-41.51758219430996	-315.9936716475216	-166.12458736423883	-7.948145932745213	206	4
17	-49.44699532214886	-41.22708642000193	-315.51108485703514	-165.34206501777334	-8.219908902146928	126	7
18	-49.28008258364967	-42.336103132354374	-317.67173679501974	-166.2553459884562	-6.9439794512952995	365	14
19	-48.886055083574455	-41.260228261057776	-314.79807168321076	-163.43717626975067	-7.625826822516681	17	9
20	-48.87869609240266	-41.252869269885984	-315.27380855920455	-163.12718909941233	-7.625826822516681	385	9
21	-48.8381060680032	-41.8941266167079	-310.45239289830647	-178.08598341477315	-6.9439794512952995	35	14
22	-48.30732328656741	-40.3591773538222	-315.2946603207929	-164.81936595593103	-7.948145932745213	424	4
23	-47.895016326667395	-40.26918950415072	-308.8910706821759	-172.84605902863754	-7.625826822516681	283	9
24	-47.80794646254835	-40.86396701125305	-317.93200149277243	-165.23734055311803	-6.9439794512952995	342	14
25	-47.64536937896164	-40.09717023608789	-315.34219568665924	-165.25117755004808	-7.548199142873751	83	11
26	-47.613158793549765	-39.66501286080455	-310.1650028424457	-168.20711995250227	-7.948145932745213	322	4
27	-47.256468523111614	-38.534095269029564	-313.0357029976176	-168.91557674112894	-8.722373254082049	270	15
28	-47.13133458594284	-39.281447691555385	-316.6329592032569	-163.4270700731975	-7.849886894387456	141	6
29	-47.02586333888629	-40.08188388759099	-322.52481497486406	-159.51322805159626	-6.9439794512952995	36	14
30	-46.98550145720078	-38.76559255505386	-309.1803564726294	-170.508310897043	-8.219908902146928	255	7
31	-46.18575101495887	-38.63755187208512	-316.5469106583023	-162.2553441968644	-7.548199142873751	371	11
